,Match_Id,Batsman,batting_team,bowling_team,balls_faced,sixes,fours,runs,strike_rate,dismissal_type
0,1,DA Warner,Sunrisers Hyderabad,Royal Challengers Bangalore,8,1,2,14,175.0,caught
1,6,DA Warner,Sunrisers Hyderabad,Gujarat Lions,45,4,6,76,168.89,Not Out
2,10,DA Warner,Sunrisers Hyderabad,Mumbai Indians,34,2,7,49,144.12,caught
3,14,DA Warner,Sunrisers Hyderabad,Kolkata Knight Riders,30,0,4,26,86.67,caught
4,19,DA Warner,Sunrisers Hyderabad,Kings XI Punjab,54,2,7,70,129.63,Not Out
5,21,DA Warner,Sunrisers Hyderabad,Delhi Capitals,7,0,0,4,57.14,caught
6,25,DA Warner,Sunrisers Hyderabad,Rising Pune Supergiants,40,1,3,43,107.5,bowled
7,32,DA Warner,Sunrisers Hyderabad,Kings XI Punjab,27,4,4,51,188.89,bowled
8,36,DA Warner,Sunrisers Hyderabad,Kolkata Knight Riders,59,8,10,126,213.56,caught
9,39,DA Warner,Sunrisers Hyderabad,Delhi Capitals,21,1,4,30,142.86,bowled
10,43,DA Warner,Sunrisers Hyderabad,Rising Pune Supergiants,34,1,4,40,117.65,caught
11,47,DA Warner,Sunrisers Hyderabad,Mumbai Indians,6,0,1,6,100.0,lbw
12,52,DA Warner,Sunrisers Hyderabad,Gujarat Lions,52,0,9,69,132.69,Not Out
13,57,DA Warner,Sunrisers Hyderabad,Kolkata Knight Riders,35,2,2,37,105.71,bowled
14,141,DA Warner,Delhi Capitals,Chennai Super Kings,40,1,5,51,127.5,stumped
15,146,DA Warner,Delhi Capitals,Kolkata Knight Riders,23,1,5,36,156.52,caught
16,150,DA Warner,Delhi Capitals,Mumbai Indians,30,1,0,21,70.0,stumped
17,154,DA Warner,Delhi Capitals,Kolkata Knight Riders,23,1,5,36,156.52,caught
18,158,DA Warner,Delhi Capitals,Deccan Chargers,6,0,0,4,66.67,caught
19,170,DA Warner,Delhi Capitals,Mumbai Indians,9,1,1,15,166.67,caught
20,172,DA Warner,Delhi Capitals,Deccan Chargers,1,0,0,0,0.0,caught
21,185,DA Warner,Delhi Capitals,Chennai Super Kings,8,0,1,6,75.0,caught
22,189,DA Warner,Delhi Capitals,Deccan Chargers,33,4,4,57,172.73,Not Out
23,197,DA Warner,Delhi Capitals,Royal Challengers Bangalore,14,2,3,33,235.71,caught
24,200,DA Warner,Delhi Capitals,Kolkata Knight Riders,69,5,9,107,155.07,Not Out
25,203,DA Warner,Delhi Capitals,Rajasthan Royals,8,0,0,4,50.0,bowled
26,209,DA Warner,Delhi Capitals,Royal Challengers Bangalore,22,2,3,33,150.0,caught
27,213,DA Warner,Delhi Capitals,Kolkata Knight Riders,5,0,0,0,0.0,bowled
28,218,DA Warner,Delhi Capitals,Kings XI Punjab,11,0,1,6,54.55,run out
29,221,DA Warner,Delhi Capitals,Mumbai Indians,15,1,5,31,206.67,caught
30,224,DA Warner,Delhi Capitals,Chennai Super Kings,2,0,0,0,0.0,caught
31,229,DA Warner,Delhi Capitals,Deccan Chargers,4,0,1,5,125.0,caught
32,238,DA Warner,Delhi Capitals,Mumbai Indians,3,0,0,1,33.33,bowled
33,241,DA Warner,Delhi Capitals,Rajasthan Royals,44,1,6,54,122.73,caught
34,250,DA Warner,Delhi Capitals,Pune Warriors,28,2,6,46,164.29,run out
35,253,DA Warner,Delhi Capitals,Deccan Chargers,48,1,5,51,106.25,caught
36,259,DA Warner,Delhi Capitals,Kings XI Punjab,48,4,7,77,160.42,caught
37,263,DA Warner,Delhi Capitals,Royal Challengers Bangalore,11,0,1,7,63.64,bowled
38,266,DA Warner,Delhi Capitals,Kolkata Knight Riders,6,0,0,2,33.33,bowled
39,269,DA Warner,Delhi Capitals,Kochi Tuskers Kerala,7,0,0,3,42.86,bowled
40,274,DA Warner,Delhi Capitals,Kochi Tuskers Kerala,15,0,2,13,86.67,caught
41,282,DA Warner,Delhi Capitals,Mumbai Indians,2,0,0,1,50.0,lbw
42,289,DA Warner,Delhi Capitals,Chennai Super Kings,25,0,2,21,84.0,caught
43,293,DA Warner,Delhi Capitals,Kings XI Punjab,29,1,4,29,100.0,caught
